执行用例编号,总用例编号,用例名称,接口/流程,前置条件,数据集,输入变量,请求/步骤,预期/断言,就绪情况
bet-list,ISOP-2043-C06,查询结构与分页,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""page_limit"",""path"":""data.d"",""value"":20}]}",可执行
bet-jp-0,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":0}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":0},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]}]}",可执行
bet-jp-1,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":1}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":1},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]}]}",可执行
bet-jp-2,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":2}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":2},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]}]}",可执行
bet-jp-3,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":3}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":3},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]}]}",可执行
bet-jp-4,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":4}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":4},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]}]}",可执行
bet-jp-99,ISOP-2043-C06,JP类型与金额字段/多池加总,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""jp_type"":99}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_eq"",""path"":""data.d"",""field"":""jp_type"",""value"":99},{""op"":""row_keys"",""path"":""data.d"",""value"":[""jp_type"",""jp_contribution"",""jp_winning"",""seed_money"",""jackpot_details""]},{""op"":""row_decimal"",""path"":""data.d"",""value"":[""jp_contribution"",""jp_winning"",""seed_money""]},{""op"":""jp_multi"",""path"":""data.d""}]}",可执行
bet-node-1,ISOP-2043-C08,线路范围过滤,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""node"":1}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_in"",""path"":""data.d"",""field"":""node"",""value"":[1]}]}",可执行
bet-node-2,ISOP-2043-C08,线路范围过滤,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":true}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""start_time"":1788883200000,""end_time"":1789055999999,""page"":1,""page_size"":20,""node"":2}}","{""expect"":""success"",""checks"":[{""op"":""type"",""path"":""data"",""value"":""object""},{""op"":""type"",""path"":""data.d"",""value"":""array""},{""op"":""type"",""path"":""data.t"",""value"":""integer""},{""op"":""type"",""path"":""data.s"",""value"":""integer""},{""op"":""count_rows"",""path"":""data.s""},{""op"":""rows_in"",""path"":""data.d"",""field"":""node"",""value"":[0,2]}]}",可执行
bet-missing-time,ISOP-2043-C06,缺失必填时间范围,/admin/record/bet,指定环境；按auth配置建立本轮会话,固定组合,"{""auth"":""valid"",""requires_rows"":false}","{""path"":""/admin/record/bet"",""method"":""POST"",""body"":{""page"":1,""page_size"":20}}","{""expect"":""validation_rejected"",""checks"":[]}",可执行
